,,25,alpha-pinene,beta-pinene,humulene,β-caryophyllene,caryophyllene oxide,β-myrcene,nerolidol,linalool,terpinolene,"""phytol terpene""",fenchol,borneol,terpineol,α-bisabolol,ocimene,limonene,"1, 8, Cineole",bornyl acetate,p-cymene,perillyl alcohol,Sabinene,alpha-terpinene,gamma-terpinene,R-carvone,S-carvone
gastric protection,6,2899,Loading...,Loading...,Loading...,17,Loading...,Loading...,3,13,Loading...,21,0,Loading...,8,4,Loading...,Loading...,21,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
hyper-pigmentation,0,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,0,Loading...,0,Loading...,0,Loading...
immuno-stimulatory,0,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,Loading...
interleukin-B secretion,0,Loading...,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...
longevity,4,Loading...,5,3,4,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
lowers blood-brain barrier,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,1,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,0,Loading...,Loading...,Loading...
memory retention,1,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,2,Loading...,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...
natural humectant,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,0,Loading...,Loading...
neuro-inflammation,0,Loading...,1,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,1,Loading...,0,Loading...,Loading...
neurological health,1,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,11,6,Loading...,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...
neuroprotective,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,95,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,11,0,Loading...
oral health,1,Loading...,19,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
pharmacokinetic,2,Loading...,103,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,237,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,15,Loading...,27,17,Loading...
prohibits neurotransmitter degeneration,0,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
promotes apoptosis in cancer cells,1,1865,6,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,11,Loading...,Loading...,Loading...,Loading...,0,Loading...
relax,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,36,Loading...,Loading...,Loading...,Loading...,2,41,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0
respiratory function,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,23,Loading...,Loading...,Loading...,6,Loading...,Loading...,Loading...,61,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,5,Loading...,Loading...
"sedative, sleep",3,Loading...,6,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,3,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,1,Loading...,Loading...
skin health,4,Loading...,Loading...,Loading...,4,Loading...,Loading...,3,4,Loading...,Loading...,Loading...,Loading...,13,Loading...,Loading...,Loading...,Loading...,Loading...,2,5,Loading...,Loading...,Loading...,Loading...,Loading...,0
anti-cancer,2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,10,Loading...,Loading...,Loading...,Loading...,9,Loading...,Loading...,Loading...,Loading...,19,Loading...,23,12,Loading...,Loading...,Loading...,Loading...,0
neuroprotective,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,95,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,11,0,Loading...
MRSA,2,Loading...,Loading...,16,Loading...,Loading...,Loading...,Loading...,Loading...,25,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,10,Loading...,0
Osteoporosis,1,13461,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,5,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Pruritis,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,22,Loading...,Loading...,2,Loading...,0,5,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,0,Loading...
diabetes,4,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,5,346,Loading...,30,Loading...,Loading...,12,Loading...,64,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Hepatitis C,1,10089,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,1,3,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Dystonia,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,0,Loading...,0,Loading...,Loading...,Loading...,Loading...
Fibromyalgia,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,2,Loading...,0,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...
Parkinson's disease,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,3,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...
Alzheimers,1,Loading...,32,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,34,5,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Epilepsy,2,Loading...,Loading...,Loading...,Loading...,Loading...,4,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,12,Loading...,Loading...,Loading...,Loading...,8,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...
PTSD,1,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,2,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...
migraine,1,Loading...,Loading...,Loading...,Loading...,6,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Huntington's disease,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
multiple sclerosis,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...
ALS,1,41,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,2,Loading...,Loading...,0,Loading...,1,Loading...,1,Loading...,Loading...,1,Loading...,Loading...,Loading...
Tourettes Syndrom,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,0,0,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...
HIV,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,5,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Hypertension,3,Loading...,Loading...,11,Loading...,Loading...,Loading...,4,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,4,Loading...,Loading...,Loading...,Loading...,Loading...,4,5,Loading...,Loading...,Loading...
Sleep apnea,0,Loading...,#N/A,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
GI disorders,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,1,0,0,Loading...,Loading...,Loading...
Incontinence,0,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
dystonia,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,0,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
arthritis,3,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,7,Loading...,Loading...,94,Loading...,Loading...,12,Loading...,Loading...,Loading...,10,6,1,Loading...,Loading...,3,2,Loading...,Loading...
Osteoporosis,1,13461,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,5,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Fibromyalgia,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,2,Loading...,0,1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,0,Loading...
chronic pain,4,Loading...,6,Loading...,Loading...,Loading...,Loading...,Loading...,4,Loading...,Loading...,Loading...,Loading...,9,4,Loading...,Loading...,Loading...,Loading...,Loading...,1,Loading...,Loading...,Loading...,Loading...,Loading...,1
restless leg syndrome,0,612,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,Loading...,Loading...,0,Loading...,Loading...,0,Loading...,0,0,Loading...
